episode_num,steps,score,total_rewards,avg_rewards
177,154521,5,41.30000000000033,41.30000000000033
178,154733,2,20.10000000000003,20.10000000000003
179,155892,34,114.7999999999977,114.7999999999977
180,157128,37,122.49999999999726,122.49999999999726
181,158415,31,127.59999999999698,127.59999999999698
182,159592,34,116.59999999999759,116.59999999999759
183,160219,8,61.60000000000062,61.60000000000062
184,160544,3,31.40000000000019,31.40000000000019
185,160787,2,23.200000000000074,23.200000000000074
186,160914,1,11.599999999999971,11.599999999999971
187,161184,3,25.900000000000112,25.900000000000112
188,161681,6,48.600000000000435,48.600000000000435
189,161879,2,18.70000000000001,18.70000000000001
190,163042,34,115.19999999999767,115.19999999999767
191,163999,43,94.59999999999884,94.59999999999884
192,165107,31,109.69999999999798,109.69999999999798
193,166265,34,114.6999999999977,114.6999999999977
194,167640,41,136.39999999999648,136.39999999999648
195,168581,26,92.99999999999893,92.99999999999893
196,169748,34,115.59999999999765,115.59999999999765
197,169991,2,23.200000000000074,23.200000000000074
198,171006,28,100.39999999999851,100.39999999999851
199,172169,34,115.19999999999767,115.19999999999767
200,173346,34,116.59999999999759,116.59999999999759
201,173817,5,46.0000000000004,46.0000000000004
202,174979,34,115.09999999999768,115.09999999999768
203,176142,34,115.19999999999767,115.19999999999767
204,177481,46,132.7999999999967,132.7999999999967
205,178670,35,117.79999999999752,117.79999999999752
206,179832,34,115.09999999999768,115.09999999999768
207,180977,34,113.39999999999777,113.39999999999777
208,182154,34,116.59999999999759,116.59999999999759
209,183171,29,100.5999999999985,100.5999999999985
210,184359,35,117.69999999999753,117.69999999999753
211,185624,43,125.39999999999709,125.39999999999709
212,186837,36,120.19999999999739,120.19999999999739
213,187817,33,96.89999999999871,96.89999999999871
214,188929,32,110.09999999999796,110.09999999999796
215,190139,36,119.8999999999974,119.8999999999974
216,191289,33,113.89999999999775,113.89999999999775
217,192566,44,126.59999999999702,126.59999999999702
218,193893,41,131.59999999999675,131.59999999999675
219,195070,34,116.59999999999759,116.59999999999759
220,196066,33,98.49999999999862,98.49999999999862
221,197425,42,134.79999999999657,134.79999999999657
222,198575,33,113.89999999999775,113.89999999999775
223,199759,34,117.29999999999755,117.29999999999755
224,200918,34,114.7999999999977,114.7999999999977
225,202243,39,131.39999999999677,131.39999999999677
226,203519,38,126.49999999999703,126.49999999999703
227,204782,32,125.1999999999971,125.1999999999971
228,205995,36,120.19999999999739,120.19999999999739
229,207155,34,114.89999999999769,114.89999999999769
230,208305,33,113.89999999999775,113.89999999999775
231,209326,34,100.99999999999848,100.99999999999848
232,210527,35,118.99999999999746,118.99999999999746
233,211497,32,95.89999999999877,95.89999999999877
234,212622,32,111.39999999999789,111.39999999999789
235,213784,34,115.09999999999768,115.09999999999768
236,214942,34,114.6999999999977,114.6999999999977
237,216243,38,128.9999999999969,128.9999999999969
238,217426,34,117.19999999999756,117.19999999999756
239,218425,44,98.7999999999986,98.7999999999986
240,219550,32,111.39999999999789,111.39999999999789
241,220864,39,130.29999999999683,130.29999999999683
242,221887,34,101.19999999999847,101.19999999999847
243,223324,45,142.59999999999613,142.59999999999613
244,223423,0,8.799999999999981,8.799999999999981
245,224573,33,113.89999999999775,113.89999999999775
246,225723,33,113.89999999999775,113.89999999999775
247,226911,35,117.69999999999753,117.69999999999753
248,228061,33,113.89999999999775,113.89999999999775
249,229224,34,115.19999999999767,115.19999999999767
250,230473,31,123.79999999999718,123.79999999999718
251,231517,29,103.29999999999835,103.29999999999835
252,232667,33,113.89999999999775,113.89999999999775
253,233817,33,113.89999999999775,113.89999999999775
254,235006,35,117.79999999999752,117.79999999999752
255,236164,34,114.6999999999977,114.6999999999977
256,237251,31,107.5999999999981,107.5999999999981
257,238552,38,128.9999999999969,128.9999999999969
258,239889,41,132.5999999999967,132.5999999999967
259,240917,29,101.69999999999844,101.69999999999844
260,242357,44,142.8999999999961,142.8999999999961
261,243570,36,120.19999999999739,120.19999999999739
262,244895,39,131.39999999999677,131.39999999999677
263,246072,34,116.59999999999759,116.59999999999759
264,247348,43,126.49999999999703,126.49999999999703
265,248506,34,114.6999999999977,114.6999999999977
266,249608,31,109.09999999999802,109.09999999999802
267,250971,42,135.19999999999655,135.19999999999655
268,252121,33,113.89999999999775,113.89999999999775
269,253235,32,110.29999999999795,110.29999999999795
270,254395,34,114.89999999999769,114.89999999999769
271,255760,41,135.39999999999654,135.39999999999654
272,256910,33,113.89999999999775,113.89999999999775
273,258060,33,113.89999999999775,113.89999999999775
274,259247,35,117.59999999999754,117.59999999999754
275,260348,31,108.99999999999802,108.99999999999802
276,261505,33,114.5999999999977,114.5999999999977
277,262655,33,113.89999999999775,113.89999999999775
278,263728,30,106.19999999999818,106.19999999999818
279,264750,23,101.09999999999847,101.09999999999847
280,265875,32,111.39999999999789,111.39999999999789
281,265974,0,8.799999999999981,8.799999999999981
282,267061,31,107.5999999999981,107.5999999999981
283,268116,25,104.39999999999829,104.39999999999829
284,269272,33,114.49999999999771,114.49999999999771
285,270422,33,113.89999999999775,113.89999999999775
286,270521,0,8.799999999999981,8.799999999999981
287,271580,25,104.79999999999826,104.79999999999826
288,272653,30,106.19999999999818,106.19999999999818
289,273748,37,108.39999999999806,108.39999999999806
290,274887,33,112.79999999999781,112.79999999999781
291,275988,31,108.99999999999802,108.99999999999802
292,277135,34,113.59999999999776,113.59999999999776
293,278269,33,112.29999999999784,112.29999999999784
294,279366,37,108.59999999999805,108.59999999999805
295,279465,0,8.799999999999981,8.799999999999981
296,280552,31,107.5999999999981,107.5999999999981
297,281665,32,110.19999999999796,110.19999999999796
298,282914,31,123.79999999999718,123.79999999999718
299,284091,34,116.59999999999759,116.59999999999759
300,285253,34,115.09999999999768,115.09999999999768
301,286592,33,132.7999999999967,132.7999999999967
302,287705,32,110.19999999999796,110.19999999999796
303,288813,31,109.69999999999798,109.69999999999798
304,289990,34,116.59999999999759,116.59999999999759
305,291076,31,107.49999999999811,107.49999999999811
306,291121,0,3.4000000000000004,3.4000000000000004
307,291164,0,3.200000000000001,3.200000000000001
308,292165,33,98.9999999999986,98.9999999999986
309,293185,34,100.89999999999849,100.89999999999849
310,294204,28,100.79999999999849,100.79999999999849
311,295305,31,108.99999999999802,108.99999999999802
312,296321,28,100.49999999999851,100.49999999999851
313,297471,33,113.89999999999775,113.89999999999775
314,298621,33,113.89999999999775,113.89999999999775
315,299665,24,103.29999999999835,103.29999999999835
316,300826,34,114.99999999999768,114.99999999999768
317,301958,32,112.09999999999785,112.09999999999785
318,303148,35,117.89999999999752,117.89999999999752
319,304163,28,100.39999999999851,100.39999999999851
320,305000,23,82.59999999999953,82.59999999999953
321,306114,32,110.29999999999795,110.29999999999795
322,307129,28,100.39999999999851,100.39999999999851
323,308330,35,118.99999999999746,118.99999999999746
324,309484,33,114.29999999999772,114.29999999999772
325,310694,53,119.8999999999974,119.8999999999974
326,311738,24,103.29999999999835,103.29999999999835
327,312888,33,113.89999999999775,113.89999999999775
328,314002,32,110.29999999999795,110.29999999999795
329,315103,31,108.99999999999802,108.99999999999802
330,315952,24,83.79999999999946,83.79999999999946
331,317260,33,129.69999999999686,129.69999999999686
332,318422,34,115.09999999999768,115.09999999999768
333,319405,27,97.1999999999987,97.1999999999987
334,320543,33,112.69999999999781,112.69999999999781
335,321657,32,110.29999999999795,110.29999999999795
336,322807,33,113.89999999999775,113.89999999999775
337,323789,27,97.0999999999987,97.0999999999987
338,324712,31,91.19999999999904,91.19999999999904
339,325889,29,116.59999999999759,116.59999999999759
340,326933,24,103.29999999999835,103.29999999999835
341,327931,49,98.69999999999861,98.69999999999861
342,328796,29,85.39999999999937,85.39999999999937
